1,20200421  16:15:00,1.08625,1.08574,1.08625,1.08586
1,20200421  16:16:00,1.08611,1.08586,1.08586,1.08607
1,20200421  16:17:00,1.08607,1.085755,1.08607,1.08578
1,20200421  16:18:00,1.08603,1.08577,1.08578,1.085775
1,20200421  16:19:00,1.085995,1.08577,1.08578,1.085825
1,20200421  16:20:00,1.085935,1.085775,1.085825,1.085935
1,20200421  16:21:00,1.08594,1.08593,1.085935,1.08594
1,20200421  16:22:00,1.08594,1.08594,1.08594,1.08594
1,20200421  16:23:00,1.08594,1.08594,1.08594,1.08594
1,20200421  16:24:00,1.08594,1.08585,1.08594,1.08585
1,20200421  16:25:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:26:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:27:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:28:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:29:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:30:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:31:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:32:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:33:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:34:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:35:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:36:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:37:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:38:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:39:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:40:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:41:00,1.08585,1.0858,1.08585,1.08585
1,20200421  16:42:00,1.08585,1.0858,1.08585,1.0858
1,20200421  16:43:00,1.08585,1.0858,1.0858,1.08585
1,20200421  16:44:00,1.08585,1.08585,1.08585,1.08585
1,20200421  16:45:00,1.08585,1.0858,1.08585,1.08585
1,20200421  16:46:00,1.085965,1.08585,1.08585,1.08594
1,20200421  16:47:00,1.085965,1.08591,1.08594,1.08594
1,20200421  16:48:00,1.085965,1.08594,1.08594,1.08594
1,20200421  16:49:00,1.086275,1.08591,1.08594,1.08627
1,20200421  16:50:00,1.08628,1.085895,1.08627,1.085955
1,20200421  16:51:00,1.086055,1.085935,1.085955,1.086055
1,20200421  16:52:00,1.086055,1.086055,1.086055,1.086055
1,20200421  16:53:00,1.0861,1.086055,1.086055,1.086075
1,20200421  16:54:00,1.0861,1.08607,1.086075,1.0861
1,20200421  16:55:00,1.0861,1.0861,1.0861,1.0861
1,20200421  16:56:00,1.0861,1.0861,1.0861,1.0861
1,20200421  16:57:00,1.0861,1.086025,1.0861,1.0861
1,20200421  16:58:00,1.0861,1.085995,1.0861,1.085995
1,20200421  16:59:00,1.086,1.08582,1.085995,1.085935
1,20200421  17:00:00,1.085935,1.08573,1.085935,1.08573
1,20200421  17:01:00,1.08577,1.08573,1.08573,1.08577
1,20200421  17:02:00,1.08586,1.08577,1.08577,1.085845
1,20200421  17:03:00,1.08586,1.085775,1.085845,1.085775
1,20200421  17:04:00,1.08578,1.08573,1.08578,1.08576
1,20200421  17:05:00,1.08584,1.08575,1.08576,1.08584
1,20200421  17:06:00,1.08584,1.08578,1.08584,1.08579
1,20200421  17:07:00,1.08588,1.08579,1.08579,1.085845
1,20200421  17:08:00,1.085845,1.085825,1.085845,1.085825
1,20200421  17:09:00,1.085875,1.085825,1.085825,1.085835
1,20200421  17:10:00,1.08589,1.08582,1.085835,1.08589
1,20200421  17:11:00,1.08589,1.08575,1.08589,1.08575
1,20200421  17:12:00,1.08577,1.085745,1.08575,1.085755
1,20200421  17:13:00,1.085785,1.08575,1.085755,1.085755
1,20200421  17:14:00,1.08578,1.08572,1.085755,1.085725
1,20200421  17:15:00,1.085805,1.085725,1.085725,1.08576
1,20200421  17:16:00,1.085775,1.08576,1.08576,1.085775
1,20200421  17:17:00,1.085785,1.085765,1.085775,1.08577
1,20200421  17:18:00,1.085775,1.08576,1.08577,1.08577
1,20200421  17:19:00,1.085775,1.08577,1.08577,1.085775
1,20200421  17:20:00,1.085775,1.08572,1.085775,1.085725
1,20200421  17:21:00,1.085725,1.085725,1.085725,1.085725
1,20200421  17:22:00,1.085725,1.08569,1.085725,1.08569
1,20200421  17:23:00,1.08569,1.085635,1.08569,1.08568
1,20200421  17:24:00,1.085685,1.08568,1.08568,1.08568
1,20200421  17:25:00,1.08568,1.085665,1.08568,1.085675
1,20200421  17:26:00,1.085685,1.08567,1.085675,1.085675
1,20200421  17:27:00,1.08569,1.085675,1.085675,1.08569
1,20200421  17:28:00,1.0857,1.08569,1.08569,1.085695
1,20200421  17:29:00,1.0857,1.085695,1.085695,1.085695
1,20200421  17:30:00,1.085705,1.08564,1.085695,1.085645
1,20200421  17:31:00,1.08565,1.08558,1.085645,1.08559
1,20200421  17:32:00,1.085595,1.08556,1.08559,1.085595
1,20200421  17:33:00,1.085595,1.085585,1.085595,1.08559
1,20200421  17:34:00,1.085645,1.08559,1.08559,1.085635
1,20200421  17:35:00,1.08565,1.085635,1.085635,1.085645
1,20200421  17:36:00,1.085645,1.085585,1.085645,1.085615
1,20200421  17:37:00,1.085635,1.085615,1.085615,1.08563
1,20200421  17:38:00,1.085635,1.08563,1.08563,1.085635
1,20200421  17:39:00,1.085705,1.085635,1.085635,1.085695
1,20200421  17:40:00,1.085725,1.0856,1.085695,1.085715
1,20200421  17:41:00,1.085795,1.085695,1.085715,1.08576
