AAPL, 20101102  09:00:00, 306.02, 306.14, 306, 306.14,
AAPL, 20101102  09:05:00, 306.1, 306.15, 306.05, 306.13,
AAPL, 20101102  09:10:00, 306.12, 306.12, 306.05, 306.05,
AAPL, 20101102  09:15:00, 306.06, 306.49, 306.05, 306.4,
AAPL, 20101102  09:20:00, 306.4, 307.4, 306.4, 307.4,
AAPL, 20101102  09:25:00, 307.37, 307.39, 306.88, 307.03,
AAPL, 20101102  09:30:00, 307.09, 307.17, 307.05, 307.11,
AAPL, 20101102  09:35:00, 307.11, 307.15, 306.95, 307.09,
AAPL, 20101102  09:40:00, 307.07, 307.29, 306.96, 307.21,
AAPL, 20101102  09:45:00, 307.22, 309.22, 307, 308.72,
AAPL, 20101102  09:50:00, 308.69, 309.65, 308.1, 308.82,
AAPL, 20101102  09:55:00, 308.88, 309.56, 308.1, 308.8,
AAPL, 20101102  10:00:00, 308.79, 309.34, 308.61, 308.9,
AAPL, 20101102  10:05:00, 309, 309.13, 308.65, 308.8,
AAPL, 20101102  10:10:00, 308.76, 309.03, 308.1, 308.73,
AAPL, 20101102  10:15:00, 308.72, 308.9, 308.14, 308.29,
AAPL, 20101102  10:20:00, 308.3, 308.7, 308.24, 308.57,
AAPL, 20101102  10:25:00, 308.55, 308.7, 308.15, 308.23,
AAPL, 20101102  10:30:00, 308.3, 308.5, 308.1, 308.42,
AAPL, 20101102  10:35:00, 308.4, 308.7, 308.36, 308.58,
AAPL, 20101102  10:40:00, 308.61, 308.7, 308.43, 308.55,
AAPL, 20101102  10:45:00, 308.54, 308.59, 307.1, 307.89,
AAPL, 20101102  10:50:00, 307.88, 308.11, 307.1, 308.04,
AAPL, 20101102  10:55:00, 308.04, 308.47, 307.96, 308.36,
AAPL, 20101102  11:00:00, 308.4, 308.54, 308.26, 308.39,
AAPL, 20101102  11:05:00, 308.44, 308.44, 308.19, 308.35,
AAPL, 20101102  11:10:00, 308.35, 308.53, 308.19, 308.45,
AAPL, 20101102  11:15:00, 308.49, 308.63, 308.43, 308.53,
AAPL, 20101102  11:20:00, 308.59, 308.75, 308.25, 308.49,
AAPL, 20101102  11:25:00, 308.49, 308.58, 308.18, 308.44,
AAPL, 20101102  11:30:00, 308.42, 308.48, 308.22, 308.4,
AAPL, 20101102  11:35:00, 308.4, 308.46, 308.24, 308.27,
AAPL, 20101102  11:40:00, 308.27, 308.37, 307.88, 307.93,
AAPL, 20101102  11:45:00, 307.89, 308.28, 307.1, 308.23,
AAPL, 20101102  11:50:00, 308.2, 308.43, 308.1, 308.23,
AAPL, 20101102  11:55:00, 308.21, 308.28, 308.04, 308.17,
AAPL, 20101102  12:00:00, 308.17, 308.25, 308.02, 308.24,
AAPL, 20101102  12:05:00, 308.24, 308.34, 308.19, 308.28,
AAPL, 20101102  12:10:00, 308.3, 308.4, 308.22, 308.4,
AAPL, 20101102  12:15:00, 308.38, 308.71, 308.27, 308.66,
AAPL, 20101102  12:20:00, 308.7, 308.7, 308.48, 308.54,
AAPL, 20101102  12:25:00, 308.49, 308.6, 308.25, 308.32,
AAPL, 20101102  12:30:00, 308.3, 308.68, 308.29, 308.64,
AAPL, 20101102  12:35:00, 308.65, 308.7, 308.41, 308.49,
AAPL, 20101102  12:40:00, 308.46, 308.55, 308.33, 308.41,
AAPL, 20101102  12:45:00, 308.44, 308.65, 308.36, 308.45,
AAPL, 20101102  12:50:00, 308.46, 308.68, 308.4, 308.68,
AAPL, 20101102  12:55:00, 308.68, 308.99, 308.66, 308.85,
AAPL, 20101102  13:00:00, 308.88, 309.3, 308.1, 309.2,
AAPL, 20101102  13:05:00, 309.19, 309.25, 309.05, 309.1,
AAPL, 20101102  13:10:00, 309.13, 309.23, 309.01, 309.16,
AAPL, 20101102  13:15:00, 309.16, 309.65, 309.13, 309.59,
AAPL, 20101102  13:20:00, 309.59, 309.75, 309.5, 309.59,
AAPL, 20101102  13:25:00, 309.62, 309.63, 309.44, 309.59,
AAPL, 20101102  13:30:00, 309.56, 309.85, 309.55, 309.7,
AAPL, 20101102  13:35:00, 309.69, 309.95, 309.64, 309.93,
AAPL, 20101102  13:40:00, 309.94, 309.98, 309.76, 309.91,
AAPL, 20101102  13:45:00, 309.91, 310, 309.1, 309.85,
AAPL, 20101102  13:50:00, 309.88, 309.9, 309.76, 309.8,
AAPL, 20101102  13:55:00, 309.83, 310, 309.1, 309.99,
AAPL, 20101102  14:00:00, 309.99, 310.19, 309.1, 310.03,
AAPL, 20101102  14:05:00, 310.03, 310.1, 309.1, 309.9,
AAPL, 20101102  14:10:00, 309.84, 310, 309.66, 309.73,
AAPL, 20101102  14:15:00, 309.73, 309.74, 309.51, 309.51,
AAPL, 20101102  14:20:00, 309.51, 309.58, 309.37, 309.52,
AAPL, 20101102  14:25:00, 309.55, 309.55, 309.01, 309.11,
AAPL, 20101102  14:30:00, 309.12, 309.19, 308.73, 308.89,
AAPL, 20101102  14:35:00, 308.94, 309.3, 308.1, 309.2,
AAPL, 20101102  14:40:00, 309.2, 309.43, 309.16, 309.17,
AAPL, 20101102  14:45:00, 309.22, 309.36, 309.07, 309.1,
AAPL, 20101102  14:50:00, 309.11, 309.3, 309, 309.03,
AAPL, 20101102  14:55:00, 309.03, 309.13, 308.1, 308.98,
AAPL, 20101102  15:00:00, 308.92, 308.98, 308.56, 308.83,
AAPL, 20101102  15:05:00, 308.84, 309.26, 308.1, 309.19,
AAPL, 20101102  15:10:00, 309.2, 309.2, 308.92, 308.95,
AAPL, 20101102  15:15:00, 308.96, 310, 308.95, 309.78,
AAPL, 20101102  15:20:00, 309.76, 309.9, 309.4, 309.64,
AAPL, 20101102  15:25:00, 309.63, 309.95, 309.54, 309.77,
AAPL, 20101102  15:30:00, 309.79, 310.1, 309.1, 310.04,
AAPL, 20101102  15:35:00, 310.04, 310.08, 309.1, 309.76,
AAPL, 20101102  15:40:00, 309.74, 309.79, 309.55, 309.59,
AAPL, 20101102  15:45:00, 309.57, 309.61, 309.11, 309.36,
AAPL, 20101102  15:50:00, 309.37, 309.46, 309.12, 309.17,
AAPL, 20101102  15:55:00, 309.14, 309.2, 308.1, 308.99,
AAPL, 20101102  16:00:00, 308.99, 309.45, 308.1, 309.37,
AAPL, 20101102  16:05:00, 309.36, 309.69, 309.36, 309.66,
AAPL, 20101102  16:10:00, 309.66, 309.74, 309.22, 309.34,
AAPL, 20101102  16:15:00, 309.34, 309.7, 309.24, 309.32,
AAPL, 20101102  16:20:00, 309.44, 309.5, 309.42, 309.46,
AAPL, 20101102  16:25:00, 309.4, 309.4, 309.3, 309.38,
AAPL, 20101102  16:30:00, 309.35, 309.97, 309.32, 309.95,
AAPL, 20101102  16:35:00, 309.99, 310.15, 309.86, 309.86,
AAPL, 20101102  16:40:00, 309.83, 309.9, 309.75, 309.85,
AAPL, 20101102  16:45:00, 309.89, 309.89, 309.8, 309.8,
AAPL, 20101102  16:50:00, 309.86, 309.86, 309.76, 309.76,
AAPL, 20101102  16:55:00, 309.75, 309.98, 309.75, 309.84,
